C9orf152	NM_001012993	hypothetical protein LOC401546
GPX4	NM_001039848/NM_002085/NM_001039847	glutathione peroxidase 4 isoform C precursor/glutathione peroxidase 4 isoform A precursor/glutathione peroxidase 4 isoform B precursor
KIAA0368	NM_001080398	KIAA0368 protein
GPR157	NM_024980	G protein-coupled receptor 157
CTAGE4	NM_198495	CTAGE family, member 4
OR52A1	NM_012375	olfactory receptor, family 52, subfamily A,
C9orf30	NM_080655	hypothetical protein LOC91283
HSP90B3P	NR_003130
ALG9	NM_001077690/NM_001077692/NM_024740/NM_001077691	asparagine-linked glycosylation 9 protein
BTBD10	NM_032320	K+ channel tetramerization protein
BAIAP3	NM_003933	BAI1-associated protein 3
RABGGTB	NM_004582	Rab geranylgeranyltransferase, beta subunit
ANKRD40	NM_052855	ankyrin repeat domain 40
KRT74	NM_175053	keratin 6 irs4
CALCOCO2	NM_005831	calcium binding and coiled-coil domain 2
TMSL8	NM_021992	thymosin-like 8
SNCA	NM_007308/NM_000345	alpha-synuclein isoform NACP112/alpha-synuclein isoform NACP140
C2orf53	NM_178553	hypothetical protein LOC339779
ESRRB	NM_004452	estrogen-related receptor beta
ARHGAP26	NM_015071/NM_001135608	GTPase regulator associated with the focal
SLC48A1	NM_017842	heme-responsive gene 1
TDRD9	NM_153046	tudor domain containing 9
PRCD	NM_001077620	progressive rod-cone degeneration
KLRC4	NM_013431	killer cell lectin-like receptor subfamily C,
HRAS	NM_176795/NM_005343/NM_001130442	v-Ha-ras Harvey rat sarcoma viral oncogene
BSDC1	NM_018045	BSD domain containing 1
JAGN1	NM_032492	jagunal homolog 1
NDUFAF1	NM_016013	NADH dehydrogenase (ubiquinone) 1 alpha
RNF43	NM_017763	ring finger protein 43
PHF12	NM_001033561/NM_020889	PHD finger protein 12 isoform 1/PHD finger protein 12 isoform 2
WDR42C	NM_001136533	WD repeat domain 42C
OR1L3	NM_001005234	olfactory receptor, family 1, subfamily L,
FOLR2	NM_000803/NM_001113534/NM_001113535/NM_001113536	folate receptor 2 precursor
PLAC8L1	NM_001029869	PLAC8-like 1
LYZL6	NM_020426	lysozyme-like 6
WSB1	NM_134265/NM_015626	WD repeat and SOCS box-containing 1 isoform 2/WD repeat and SOCS box-containing 1 isoform 1
OSTN	NM_198184	osteocrin
PROS1	NM_000313	protein S, alpha
PSMB8	NM_148919/NM_004159	proteasome beta 8 subunit isoform E2 proprotein/proteasome beta 8 subunit isoform E1 proprotein
SOCS4	NM_080867/NM_199421	suppressor of cytokine signaling 4
DDIT4L	NM_145244	DNA-damage-inducible transcript 4-like
MAS1	NM_002377	MAS1 oncogene
LOC283050	NR_015429/NR_024429/NR_024431
TBCCD1	NM_018138/NM_001134415	TBCC domain containing 1
CSHL1	NM_022579/NM_022580/NM_022581/NM_001318	chorionic somatomammotropin hormone-like 1
SCARNA16	NR_003013
ZBTB7C	NM_001039360	zinc finger and BTB domain containing 7C
AP2S1	NM_004069/NM_021575	adaptor-related protein complex 2, sigma 1
VAT1	NM_006373	vesicle amine transport protein 1
SHANK3	NM_001080420	SH3 and multiple ankyrin repeat domains 3
TUFM	NM_003321	Tu translation elongation factor, mitochondrial
THEG	NM_016585/NM_199202	Theg homolog isoform 1/Theg homolog isoform 2
KRT34	NM_021013	keratin 34
SGSM3	NM_015705	RUN and TBC1 domain containing 3
TOMM22	NM_020243	mitochondrial import receptor Tom22
SOCS3	NM_003955	suppressor of cytokine signaling 3
CPO	NM_173077	carboxypeptidase O
POP4	NM_006627	POP4 (processing of precursor , S. cerevisiae)
BHLHB3	NM_030762	basic helix-loop-helix domain containing, class
MALL	NM_005434	mal, T-cell differentiation protein-like
PARK2	NM_004562/NM_013987/NM_013988	parkin isoform 1/parkin isoform 2/parkin isoform 3
OR1B1	NM_001004450	olfactory receptor, family 1, subfamily B,
GPR124	NM_032777	G protein-coupled receptor 124
LCE1E	NM_178353	late cornified envelope 1E
TMEM132A	NM_178031/NM_017870	transmembrane protein 132A isoform b/transmembrane protein 132A isoform a
RUVBL2	NM_006666	RuvB-like 2
CGRRF1	NM_006568	cell growth regulator with ring finger domain 1
ACPL2	NM_001037172/NM_152282	acid phosphatase-like 2
WNT10B	NM_003394	wingless-type MMTV integration site family,
BAIAP2L2	NM_025045	BAI1-associated protein 2-like 2
SNORD51	NR_002589
ISCA1	NM_030940	HESB like domain containing 2
C1orf125	NM_182766/NM_144696	hypothetical protein LOC126859 isoform 2/hypothetical protein LOC126859 isoform 1
RPAP1	NM_015540	RNA polymerase II associated protein 1
RPL27	NM_000988	ribosomal protein L27
NLRP9	NM_176820	NLR family, pyrin domain containing 9
EPN1	NM_001130072/NM_001130071/NM_013333	epsin 1 isoform b/epsin 1 isoform a/epsin 1 isoform c
SLC35A1	NM_006416	solute carrier family 35 (CMP-sialic acid
GAL	NM_015973	galanin preproprotein
SLC14A2	NM_007163	solute carrier family 14 (urea transporter),
RDH11	NM_016026	retinol dehydrogenase 11
AUH	NM_001698	AU RNA-binding protein/enoyl-Coenzyme A
FLJ40243	NM_173489	hypothetical protein LOC133558
C14orf129	NM_016472	chromosome 14 open reading frame 129
MBD2	NM_015832/NM_003927	methyl-CpG binding domain protein 2/methyl-CpG binding domain protein 2 isoform 1
ABHD14B	NM_032750	abhydrolase domain containing 14B
SPHAR	NM_006542	S-phase response (cyclin-related)
ALS2CR4	NM_001044385/NM_152388	amyotrophic lateral sclerosis 2 (juvenile)
PIGT	NM_015937	phosphatidylinositol glycan anchor biosynthesis,
ALAS1	NM_199166/NM_000688	aminolevulinate, delta, synthase 1
FOXO1	NM_002015	forkhead box O1
SNORD114-23	NR_003216
CRLF3	NM_015986	cytokine receptor-like factor 3
OR5W2	NM_001001960	olfactory receptor, family 5, subfamily W,
C20orf107	NM_001013646	hypothetical protein LOC388799
FARS2	NM_006567	phenylalanyl-tRNA synthetase 2 precursor
DAD1L	NR_024064
CCDC28A	NM_015439	coiled-coil domain containing 28A
OR13F1	NM_001004485	olfactory receptor, family 13, subfamily F,
NPHP3	NM_153240	nephrocystin 3
LOC441956	NM_001013729	hypothetical protein LOC441956
TSEN54	NM_207346	tRNA splicing endonuclease 54 homolog
AFARP1	NR_002796
OR8B4	NM_001005196	olfactory receptor, family 8, subfamily B,
DEFB106B	NM_001040704	defensin, beta 106B precursor
STH	NM_001007532	saitohin
LOC729250	NM_001130407	hypothetical protein LOC729250
ZC3H14	NM_024824/NM_207661/NM_207660/NM_207662	zinc finger CCCH-type containing 14 isoform 1/zinc finger CCCH-type containing 14 isoform 3/zinc finger CCCH-type containing 14 isoform 2/zinc finger CCCH-type containing 14 isoform 4
CBX2	NM_032647/NM_005189	chromobox homolog 2 isoform 2/chromobox homolog 2 isoform 1
TMEM49	NM_030938	transmembrane protein 49
CXADRP2	NR_024387
CRTAP	NM_006371	cartilage associated protein precursor
DDX50	NM_024045	nucleolar protein GU2
STYXL1	NM_016086	map kinase phosphatase-like protein MK-STYX
TBPL2	NM_199047	TATA box binding protein like 2
EFCAB4A	NM_173584	EF-hand calcium binding domain 4A
BLVRB	NM_000713	biliverdin reductase B (flavin reductase
SNORA68	NR_000012
MMP24	NM_006690	matrix metalloproteinase 24 preproprotein
GRID1	NM_017551	glutamate receptor, ionotropic, delta 1
BANF1	NM_003860	barrier to autointegration factor 1
CATSPER2P1	NR_002318
HMBS	NM_000190/NM_001024382	hydroxymethylbilane synthase isoform 1/hydroxymethylbilane synthase isoform 2
SLC25A24	NM_213651/NM_013386	solute carrier family 25 member 24 isoform 2/solute carrier family 25 member 24 isoform 1
C14orf50	NM_172365	hypothetical protein LOC145376
MRO	NM_031939/NM_001127174/NM_001127175/NM_001127176	maestro isoform a/maestro isoform b/maestro isoform c/maestro isoform d
CCDC129	NM_194300	coiled-coil domain containing 129
SLC25A15	NM_014252	solute carrier family 25 (mitochondrial carrier;
FAM84B	NM_174911	family with sequence similarity 84, member B
TDP1	NM_001008744/NM_018319	tyrosyl-DNA phosphodiesterase 1
C16orf78	NM_144602	hypothetical protein LOC123970
C11orf57	NM_001082969/NM_018195/NM_001082970	hypothetical protein LOC55216 isoform a/hypothetical protein LOC55216 isoform b
RFK	NM_018339	riboflavin kinase
ARHGAP8	NM_001017526/NM_181335	Rho GTPase activating protein 8 isoform 1/Rho GTPase activating protein 8 isoform 2
ZFYVE9	NM_004799/NM_007324/NM_007323	zinc finger, FYVE domain containing 9 isoform 3/zinc finger, FYVE domain containing 9 isoform 1/zinc finger, FYVE domain containing 9 isoform 2
LOC643008	NR_024379/NR_015452
WIBG	NM_032345	within bgcn homolog
GBA2	NM_020944	bile acid beta-glucosidase
NDUFB3	NM_002491	NADH dehydrogenase (ubiquinone) 1 beta
HSD17B13	NM_178135/NM_001136230	hydroxysteroid (17-beta) dehydrogenase 13
KRTAP5-11	NM_001005405	keratin associated protein 5-11
GRIN3A	NM_133445	glutamate receptor, ionotropic,
FMNL1	NM_005892	formin-like 1
SEPT7	NM_001788/NM_001011553	cell division cycle 10 isoform 1/cell division cycle 10 isoform 2
GNLY	NM_012483/NM_006433	granulysin isoform 519/granulysin isoform NKG5
GRAMD1C	NM_017577	GRAM domain containing 1C
ZNF165	NM_003447	zinc finger protein 165
USP38	NM_032557	ubiquitin specific peptidase 38
FAM83A	NM_207006/NM_032899	hypothetical protein LOC84985 isoform b/hypothetical protein LOC84985 isoform a
ARMCX3	NM_177948/NM_177947/NM_016607	armadillo repeat containing, X-linked 3
ARHGDIB	NM_001175	Rho GDP dissociation inhibitor (GDI) beta
AK1	NM_000476	adenylate kinase 1
ACSS3	NM_024560	acyl-CoA synthetase short-chain family member 3
KIAA1045	NM_015297	hypothetical protein LOC23349
CECR8	NR_003607
C4B	NM_001002029	complement component 4B preproprotein
DNAJB13	NM_153614	testis spermatogenesis apoptosis-related protein
NEU2	NM_005383	sialidase 2
HIST1H4B	NM_003544	histone cluster 1, H4b
FAM20B	NM_014864	hypothetical protein LOC9917
HES2	NM_019089	hairy and enhancer of split homolog 2
FAM73B	NM_032809	hypothetical protein LOC84895
SNORD72	NR_002583
INTS7	NM_015434	integrator complex subunit 7
AMPH	NM_001635/NM_139316	amphiphysin isoform 1/amphiphysin isoform 2
SNORD61	NR_002735
ZNF775	NM_173680	zinc finger protein 775
UCKL1	NM_017859	uridine-cytidine kinase 1-like 1
SNORA23	NR_002962
C10orf97	NM_024948	chromosome 10 open reading frame 97
ALDH1L1	NM_012190	aldehyde dehydrogenase 1 family, member L1
C1orf161	NM_152367	hypothetical protein LOC126868
HNRNPH1	NM_005520	heterogeneous nuclear ribonucleoprotein H1
COX16	NM_016468	COX16 cytochrome c oxidase assembly homolog
SLC23A1	NM_005847/NM_152685	solute carrier family 23 (nucleobase
RBM4B	NM_031492	RNA binding motif protein 4B
THAP4	NM_015963	THAP domain containing 4
OGFRL1	NM_024576	opioid growth factor receptor-like 1
KIAA0831	NM_014924	hypothetical protein LOC22863
KRTAP10-5	NM_198694	keratin associated protein 10-5
PPP1R15A	NM_014330	protein phosphatase 1, regulatory subunit 15A
C12orf11	NM_018164	hypothetical protein LOC55726
C1orf96	NM_145257	hypothetical protein LOC126731
CT47.3	NM_001080144	hypothetical protein LOC728082
BMF	NM_001003940/NM_001003942/NM_001003943/NM_033503	Bcl2 modifying factor isoform bmf-1/Bcl2 modifying factor isoform bmf-2/Bcl2 modifying factor isoform bmf-3
MAN1A1	NM_005907	mannosidase, alpha, class 1A, member 1
RBMY1A1	NM_005058	RNA binding motif protein, Y-linked, family 1,
NKAIN1	NM_024522	Na+/K+ transporting ATPase interacting 1
TGIF2LY	NM_139214	TGFB-induced factor homeobox 2-like, Y-linked
SNORD109A	NR_001295
NLGN4X	NM_020742/NM_181332	X-linked neuroligin 4
ALOX12	NM_000697	arachidonate 12-lipoxygenase
RB1CC1	NM_001083617/NM_014781	Rb1-inducible coiled coil protein 1 isoform 2/Rb1-inducible coiled coil protein 1 isoform 1
NEIL2	NM_145043/NM_001135746/NM_001135747/NM_001135748	nei-like 2 isoform a/nei-like 2 isoform b/nei-like 2 isoform c
EIF4E	NM_001968/NM_001130678/NM_001130679	eukaryotic translation initiation factor 4E
SIGLEC15	NM_213602	sialic acid binding Ig-like lectin 15
ABHD5	NM_016006	abhydrolase domain containing 5
EXOC4	NM_001037126/NM_021807	SEC8 protein isoform b/SEC8 protein isoform a
CIP29	NM_033082	cytokine induced protein 29 kDa
PRAMEF14	NM_001099854	PRAME family member 14
HEATR5A	NM_015473	HEAT repeat containing 5A
BATF2	NM_138456	basic leucine zipper transcription factor,
SLC29A4	NM_153247/NM_001040661	solute carrier family 29 (nucleoside
HTR4	NM_000870/NM_001040169/NM_199453/NM_001040174/NM_001040173/NM_001040172/NM_001040171	serotonin 5-HT4 receptor isoform b/serotonin 5-HT4 receptor isoform a/serotonin 5-HT4 receptor isoform g/serotonin 5-HT4 receptor isoform n/serotonin 5-HT4 receptor isoform i/serotonin 5-HT4 receptor isoform hb/serotonin 5-HT4 receptor isoform d
EMB	NM_198449	embigin homolog
TRAF6	NM_145803/NM_004620	TNF receptor-associated factor 6
LPAR3	NM_012152	lysophosphatidic acid receptor 3
LMNB1	NM_005573	lamin B1
CKMT1B	NM_020990	creatine kinase, mitochondrial 1B precursor
SNORD9	NR_003029
FAM19A5	NM_015381/NM_001082967	family with sequence similarity 19 (chemokine
SHE	NM_001010846	Src homology 2 domain containing E
PIK3C2B	NM_002646	phosphoinositide-3-kinase, class 2, beta
C15orf15	NM_016304	ribosomal protein L24-like
USP15	NM_006313	ubiquitin specific peptidase 15
TCEAL2	NM_080390	transcription elongation factor A (SII)-like 2
C5orf39	NM_001014279	annexin II receptor
PTGER2	NM_000956	prostaglandin E receptor 2 (subtype EP2), 53kDa
FAM184B	NM_015688	hypothetical protein LOC27146
SLC31A1	NM_001859	solute carrier family 31 (copper transporters),
IFT172	NM_015662	selective LIM binding factor homolog
ADAM29	NM_014269/NM_001130703/NM_001130704/NM_001130705	ADAM metallopeptidase domain 29 preproprotein
ST7L	NM_017744/NM_138727/NM_138728/NM_138729	suppression of tumorigenicity 7-like isoform 1/suppression of tumorigenicity 7-like isoform 2/suppression of tumorigenicity 7-like isoform 3/suppression of tumorigenicity 7-like isoform 4
GFOD1	NM_018988	glucose-fructose oxidoreductase domain
BET3L	NM_001139444	BET3 like
C15orf26	NM_173528	hypothetical protein LOC161502
PKN3	NM_013355	protein kinase PKNbeta
CNTD1	NM_173478	cyclin N-terminal domain containing 1
COMMD1	NM_152516	MURR1
LOC220115	NR_002793
FOXN3	NM_001085471/NM_005197	checkpoint suppressor 1 isoform 1/checkpoint suppressor 1 isoform 2
OCM2	NM_006188	oncomodulin-like
NTRK2	NM_006180/NM_001018064/NM_001007097/NM_001018066/NM_001018065	neurotrophic tyrosine kinase, receptor, type 2
MFGE8	NM_005928/NM_001114614	milk fat globule-EGF factor 8 protein isoform a/milk fat globule-EGF factor 8 protein isoform b
PFKFB2	NM_006212/NM_001018053	6-phosphofructo-2-kinase/fructose-2,
TAS2R4	NM_016944	taste receptor T2R4
ENTHD1	NM_152512	ENTH domain containing 1
PRMT5	NM_006109/NM_001039619	protein arginine methyltransferase 5 isoform a/protein arginine methyltransferase 5 isoform b
OR5K4	NM_001005517	olfactory receptor, family 5, subfamily K,
HIST2H3A	NM_001005464	histone cluster 2, H3a
TSKU	NM_015516	tsukushi
KRTCAP3	NM_173853	keratinocyte associated protein 3
PDLIM1	NM_020992	PDZ and LIM domain 1
KCNS2	NM_020697	potassium voltage-gated channel,
RNF126	NM_194460	ring finger protein 126
CEP63	NM_001042384/NM_001042383/NM_025180/NM_001042400	centrosomal protein 63 isoform d/centrosomal protein 63 isoform c/centrosomal protein 63 isoform a/centrosomal protein 63 isoform b
CLIC4	NM_013943	chloride intracellular channel 4
ACR	NM_001097	acrosin precursor
RPL13L	NR_002803
KLK7	NM_139277/NM_005046	stratum corneum chymotryptic enzyme
ALOX5AP	NM_001629	arachidonate 5-lipoxygenase-activating protein
RIPK3	NM_006871	receptor-interacting serine-threonine kinase 3
TAS2R9	NM_023917	taste receptor, type 2, member 9
C19orf18	NM_152474	hypothetical protein LOC147685
BIRC6	NM_016252	baculoviral IAP repeat-containing 6
RFT1	NM_052859	RFT1 homolog
ZNF16	NM_006958/NM_001029976	zinc finger protein 16
SLC8A2	NM_015063	solute carrier family 8 member 2
TACC1	NM_006283/NM_001122824	transforming, acidic coiled-coil containing
ITGAD	NM_005353	integrin, alpha D precursor
SH3PXD2B	NM_001017995	SH3 and PX domains 2B
SAMHD1	NM_015474	SAM domain- and HD domain-containing protein 1
EPC2	NM_015630	enhancer of polycomb homolog 2
C20orf85	NM_178456	hypothetical protein LOC128602
ATP13A2	NM_022089	ATPase type 13A2
KRT4	NM_002272	keratin 4
SNX18	NM_052870/NM_001102575	sorting nexin 18 isoform b/sorting nexin 18 isoform a
MDM2	NM_006881/NM_002392/NM_006878/NM_006882/NM_006879	mouse double minute 2 homolog isoform MDM2d/mouse double minute 2 homolog isoform MDM2/mouse double minute 2 homolog isoform MDM2a/mouse double minute 2 homolog isoform MDM2e/mouse double minute 2 homolog isoform MDM2b
CAPNS1	NM_001003962/NM_001749	calpain, small subunit 1
SNORD110	NR_003078
PCDH20	NM_022843	protocadherin 20
KCNK9	NM_016601	potassium channel, subfamily K, member 9
OR2C1	NM_012368	olfactory receptor, family 2, subfamily C,
KLHDC3	NM_057161	kelch domain containing 3
IPPK	NM_022755	inositol 1,3,4,5,6-pentakisphosphate 2-kinase
EFHD2	NM_024329	EF-hand domain family, member D2
NBEA	NM_015678	neurobeachin
GALR3	NM_003614	galanin receptor 3
ABCA6	NM_080284	ATP-binding cassette, sub-family A, member 6
AKT2	NM_001626	v-akt murine thymoma viral oncogene homolog 2
CLDN3	NM_001306	claudin 3
EGFR	NM_201282/NM_201283/NM_201284/NM_005228	epidermal growth factor receptor isoform b/epidermal growth factor receptor isoform c/epidermal growth factor receptor isoform d/epidermal growth factor receptor isoform a
RBM16	NM_014892	RNA-binding motif protein 16
ZDHHC3	NM_016598/NM_001135179/NM_001135180	zinc finger, DHHC-type containing 3 isoform 2/zinc finger, DHHC-type containing 3 isoform 1/zinc finger, DHHC-type containing 3 isoform 3
SLC25A4	NM_001151	solute carrier family 25 (mitochondrial carrier;
CYB5B	NM_030579	cytochrome b5 outer mitochondrial membrane
CPXM1	NM_019609	carboxypeptidase X, member 1 precursor
NDRG1	NM_006096/NM_001135242	N-myc downstream regulated 1
OR5L2	NM_001004739	olfactory receptor, family 5, subfamily L,
FARP2	NM_014808	FERM, RhoGEF and pleckstrin domain protein 2
FMO6P	NR_002601
MRPL46	NM_022163	mitochondrial ribosomal protein L46
SNORD50A	NR_002743
LDHAL6B	NM_033195	lactate dehydrogenase A-like 6B
MAPKAPK3	NM_004635	mitogen-activated protein kinase-activated
NCAM2	NM_004540	neural cell adhesion molecule 2 precursor
PRKD2	NM_001079881/NM_001079880/NM_016457/NM_001079882	protein kinase D2 isoform A/protein kinase D2 isoform B
ZFP36L1	NM_004926	butyrate response factor 1
CYSLTR1	NM_006639	cysteinyl leukotriene receptor 1
OR4C3	NM_001004702	olfactory receptor, family 4, subfamily C,
HIST1H2AJ	NM_021066	histone cluster 1, H2aj
CCNB2	NM_004701	cyclin B2
ZNF10	NM_015394	zinc finger protein 10
TMEM175	NM_032326	transmembrane protein 175
FAM134A	NM_024293	hypothetical protein LOC79137
TIGD4	NM_145720	tigger transposable element derived 4
PCNP	NM_020357	PEST proteolytic signal containing nuclear
TBC1D3G	NM_001040282	TBC1 domain family, member 3G
CREB1	NM_004379/NM_134442	cAMP responsive element binding protein 1
C9orf57	NM_001128618	hypothetical protein LOC138240
FAM22F	NM_017561	hypothetical protein LOC54754
LOC149478	NM_001136537	hypothetical protein LOC149478
TMPRSS3	NM_024022/NM_032404/NM_032405/NM_032401	transmembrane protease, serine 3 isoform 1/transmembrane protease, serine 3 isoform 2/transmembrane protease, serine 3 isoform 3
C4orf32	NM_152400	chromosome 4 open reading frame 32
LAT	NM_014387/NM_001014988/NM_001014987/NM_001014989	linker for activation of T cells isoform a/linker for activation of T cells isoform c/linker for activation of T cells isoform b
LOC392196	NR_003275
KCNA3	NM_002232	potassium voltage-gated channel, shaker-related
SKIV2L2	NM_015360	superkiller viralicidic activity 2-like 2
ROPN1B	NM_001012337	ropporin, rhophilin associated protein 1B
FKSG29	NR_024013
ZHX2	NM_014943	zinc fingers and homeoboxes 2
CDT1	NM_030928	chromatin licensing and DNA replication factor
CD28	NM_006139	CD28 antigen precursor
ZNF624	NM_020787	zinc finger protein 624
