NM_000367	TPMT	thiopurine S-methyltransferase
NM_002000	FCAR	Fc alpha receptor isoform a precursor
NM_002001	FCER1A	Fc fragment of IgE, high affinity I, receptor
NM_002003	FCN1	ficolin 1 precursor
NM_002005	FES	V-FES feline sarcoma viral/V-FPS fujinami avian
NM_005789	PSME3	proteasome activator subunit 3 isoform 1
NM_005704	PTPRU	protein tyrosine phosphatase, receptor type, U
NM_005608	PTPRCAP	protein tyrosine phosphatase, receptor type,
NM_000425	L1CAM	L1 cell adhesion molecule isoform 1 precursor
NM_000426	LAMA2	laminin alpha 2 subunit precursor
NM_000873	ICAM2	intercellular adhesion molecule 2 precursor
NM_014279	OLFM1	olfactomedin related ER localized protein
NM_014281	SIAHBP1	fuse-binding protein-interacting repressor
NM_014287	NOMO1	nodal modulator 1
NM_014291	GCAT	glycine C-acetyltransferase precursor
NM_014293	NPTXR	neuronal pentraxin receptor isoform 1
NM_014299	BRD4	bromodomain-containing protein 4 isoform short
NM_014302	SEC61G	Sec61 gamma subunit
NM_014313	TMEM50A	small membrane protein 1
NM_000424	KRT5	keratin 5
NM_000226	KRT9	keratin 9
NM_001962	EFNA5	ephrin-A5
NM_001963	EGF	epidermal growth factor (beta-urogastrone)
NM_001964	EGR1	early growth response 1
NM_001976	ENO3	enolase 3
NM_001985	ETFB	electron-transfer-flavoprotein, beta polypeptide
NM_001989	EVX1	even-skipped homeo box 1
NM_001990	EYA3	eyes absent 3 isoform a
NM_005859	PURA	purine-rich element binding protein A
NM_005806	OLIG2	oligodendrocyte lineage transcription factor 2
NM_005855	RAMP1	receptor (calcitonin) activity modifying protein
NM_000422	KRT17	keratin 17
NM_000877	IL1R1	interleukin 1 receptor, type I precursor
NM_001937	DPT	dermatopontin precursor
NM_001939	DRP2	dystrophin related protein 2
NM_001940	ATN1	atrophin-1
NM_001942	DSG1	desmoglein 1 preproprotein
NM_001943	DSG2	desmoglein 2 preproprotein
NM_001944	DSG3	desmoglein 3 preproprotein
NM_001949	E2F3	E2F transcription factor 3
NM_001951	E2F5	E2F transcription factor 5
NM_001953	ECGF1	endothelial cell growth factor 1
NM_001958	EEF1A2	eukaryotic translation elongation factor 1 alpha
NM_001959	EEF1B2	eukaryotic translation elongation factor 1 beta
NM_001960	EEF1D	eukaryotic translation elongation factor 1 delta
NM_000526	KRT14	keratin 14
NM_000878	IL2RB	interleukin 2 receptor beta precursor
NM_001814	CTSC	cathepsin C isoform a preproprotein
NM_001912	CTSL	cathepsin L preproprotein
NM_001917	DAO	D-amino-acid oxidase
NM_001924	GADD45A	growth arrest and DNA-damage-inducible, alpha
NM_001925	DEFA4	defensin, alpha 4 preproprotein
NM_001926	DEFA6	defensin, alpha 6 preproprotein
NM_001927	DES	desmin
NM_001930	DHPS	deoxyhypusine synthase isoform a
NM_001932	MPP3	palmitoylated membrane protein 3
NM_001934	DLX4	distal-less homeobox 4 isoform b
NM_001936	DPP6	dipeptidylpeptidase VI isoform 2
NM_000221	KHK	ketohexokinase isoform a
NM_000222	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral
NM_000879	IL5	interleukin 5 precursor
NM_001878	CRABP2	cellular retinoic acid binding protein 2
NM_001880	ATF2	activating transcription factor 2
NM_001886	CRYBA4	crystallin, beta A4
NM_001887	CRYBB1	crystallin, beta B1
NM_001888	CRYM	crystallin, mu isoform 1
NM_001899	CST4	cystatin S precursor
NM_001900	CST5	cystatin D precursor
NM_001905	CTPS	CTP synthase
NM_001908	CTSB	cathepsin B preproprotein
NM_000525	KCNJ11	potassium inwardly-rectifying channel J11
NM_000420	KEL	Kell blood group antigen
NM_001215	CA6	carbonic anhydrase VI precursor
NM_006883	SHOX	short stature homeobox isoform b
NM_006884	SHOX2	short stature homeobox 2 isoform a
NM_007038	ADAMTS5	a disintegrin and metalloprotease with
NM_007037	ADAMTS8	a disintegrin and metalloprotease with
NM_006886	ATP5E	ATP synthase, H+ transporting, mitochondrial F1
NM_007049	BTN2A1	butyrophilin, subfamily 2, member A1 isoform 1
NM_007073	BVES	blood vessel epicardial substance
NM_006982	CART1	cartilage paired-class homeoprotein 1
NM_006889	CD86	CD86 antigen isoform 2 precursor
NM_007007	CPSF6	cleavage and polyadenylation specific factor 6,
NM_000219	KCNE1	potassium voltage-gated channel, Isk-related
NM_001216	CA9	carbonic anhydrase IX precursor
NM_006750	SNTB2	basic beta 2 syntrophin isoform a
NM_032102	SRP46	Splicing factor, arginine/serine-rich, 46kD
NM_006755	TALDO1	transaldolase 1
NM_006799	PRSS21	testisin isoform 1
NM_006758	U2AF1	U2 small nuclear RNA auxillary factor 1 isoform
NM_006786	UTS2	urotensin 2 preproprotein, isoform b
NM_006759	UGP2	UDP-glucose pyrophosphorylase 2 isoform a
NM_006784	WDR3	WD repeat-containing protein 3
NM_006826	YWHAQ	tyrosine 3/tryptophan 5 -monooxygenase
NM_000216	KAL1	Kallmann syndrome 1 protein
NM_000217	KCNA1	potassium voltage-gated channel, shaker-related
NM_000880	IL7	interleukin 7 precursor
NM_001851	COL9A1	alpha 1 type IX collagen isoform 1 precursor
NM_001852	COL9A2	alpha 2 type IX collagen
NM_001853	COL9A3	alpha 3 type IX collagen
NM_001861	COX4I1	cytochrome c oxidase subunit IV isoform 1
NM_001865	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2
NM_001866	COX7B	cytochrome c oxidase subunit VIIb precursor
NM_001868	CPA1	pancreatic carboxypeptidase A1 precursor
NM_001869	CPA2	carboxypeptidase A2 (pancreatic)
NM_001870	CPA3	mast cell carboxypeptidase A3 precursor
NM_001871	CPB1	pancreatic carboxypeptidase B1 preproprotein
NM_001872	CPB2	plasma carboxypeptidase B2 isoform a
NM_001873	CPE	carboxypeptidase E precursor
NM_001876	CPT1A	carnitine palmitoyltransferase 1A
NM_005854	RAMP2	receptor (calcitonin) activity modifying protein
NM_000214	JAG1	jagged 1 precursor
NM_000885	ITGA4	integrin alpha 4 precursor
NM_001835	CLTCL1	clathrin, heavy polypeptide-like 1 isoform a
NM_001841	CNR2	cannabinoid receptor 2 (macrophage)
NM_001843	CNTN1	contactin 1 isoform 1 precursor
NM_001854	COL11A1	alpha 1 type XI collagen isoform A
NM_001855	COL15A1	alpha 1 type XV collagen precursor
NM_001856	COL16A1	alpha 1 type XVI collagen precursor
NM_001846	COL4A2	alpha 2 type IV collagen preproprotein
NM_001847	COL4A6	type IV alpha 6 collagen isoform A precursor
NM_001849	COL6A2	alpha 2 type VI collagen isoform 2C2 precursor
NM_000211	ITGB2	integrin beta chain, beta 2 precursor
NM_000892	KLKB1	plasma kallikrein B1 precursor
NM_001809	CENPA	centromere protein A
NM_001810	CENPB	centromere protein B
NM_001812	CENPC1	centromere protein C 1
NM_001813	CENPE	centromere protein E
NM_001818	AKR1C4	aldo-keto reductase family 1, member C4
NM_001819	CHGB	chromogranin B precursor
NM_001825	CKMT2	sarcomeric mitochondrial creatine kinase
NM_001826	CKS1B	CDC28 protein kinase 1B
NM_001827	CKS2	CDC28 protein kinase 2
NM_001830	CLCN4	chloride channel 4
NM_001832	CLPS	colipase preproprotein
NM_001833	CLTA	clathrin, light polypeptide A isoform a
NM_001834	CLTB	clathrin, light polypeptide isoform a
NM_000419	ITGA2B	integrin alpha 2b precursor
NM_000210	ITGA6	integrin alpha chain, alpha 6
NM_001217	CA11	carbonic anhydrase XI precursor
NM_006858	TMED1	interleukin 1 receptor-like 1 ligand precursor
NM_006855	KDELR3	KDEL receptor 3 isoform a
NM_006771	KRTHA8	type I hair keratin 8
NM_006845	KIF2C	kinesin family member 2C
NM_006850	IL24	interleukin 24 isoform 1 precursor
NM_006800	MSL3L1	male-specific lethal 3-like 1 isoform c
NM_006814	PSMF1	proteasome inhibitor subunit 1 isoform 1
NM_006823	PKIA	cAMP-dependent protein kinase inhibitor alpha
NM_006860	RABL4	RAB, member of RAS oncogene family-like 4
NM_006744	RBP4	retinol-binding protein 4, plasma precursor
NM_006745	SC4MOL	sterol-C4-methyl oxidase-like isoform 1
NM_006822	RAB40B	RAB40B, member RAS oncogene family
NM_000208	INSR	insulin receptor
NM_000894	LHB	luteinizing hormone beta subunit precursor
NM_001784	CD97	CD97 antigen isoform 2 precursor
NM_001788	SEPT7	cell division cycle 10 isoform 1
NM_001790	CDC25C	cell division cycle 25C protein isoform a
NM_001787	CDC2L1	cell division cycle 2-like 1 (PITSLRE proteins)
NM_001791	CDC42	cell division cycle 42 isoform 1
NM_001792	CDH2	cadherin 2, type 1 preproprotein
NM_001795	CDH5	cadherin 5, type 2 preproprotein
NM_001798	CDK2	cyclin-dependent kinase 2 isoform 1
NM_001806	CEBPG	CCAAT/enhancer binding protein gamma
NM_005856	RAMP3	receptor (calcitonin) activity modifying protein
NM_000418	IL4R	interleukin 4 receptor alpha chain isoform a
NM_000207	INS	proinsulin precursor
NM_000897	LTC4S	leukotriene C4 synthase isoform 2
NM_001748	CAPN2	calpain 2, large subunit
NM_001749	CAPNS1	calpain, small subunit 1
NM_001753	CAV1	caveolin 1
NM_001756	SERPINA6	corticosteroid binding globulin precursor
NM_001757	CBR1	carbonyl reductase 1
NM_031966	CCNB1	cyclin B1
NM_001759	CCND2	cyclin D2
NM_001760	CCND3	cyclin D3
NM_001761	CCNF	cyclin F
NM_001838	CCR7	chemokine (C-C motif) receptor 7 precursor
NM_001774	CD37	CD37 antigen
NM_001783	CD79A	CD79A antigen isoform 1 precursor
NM_001786	CDC2	cell division cycle 2 protein isoform 1
NM_000417	IL2RA	interleukin 2 receptor, alpha chain precursor
NM_000206	IL2RG	interleukin 2 receptor, gamma precursor
NM_001725	BPI	bactericidal/permeability-increasing protein
NM_001731	BTG1	B-cell translocation protein 1
NM_001732	BTN1A1	butyrophilin, subfamily 1, member A1
NM_001738	CA1	carbonic anhydrase I
NM_001739	CA5A	carbonic anhydrase VA, mitochondrial precursor
NM_001740	CALB2	calbindin 2 full length protein isoform
NM_001745	CAMLG	calcium modulating ligand
NM_005610	RBBP4	retinoblastoma binding protein 4
NM_005620	S100A11	S100 calcium binding protein A11 (calgizzarin)
NM_005621	S100A12	S100 calcium-binding protein A12
NM_000416	IFNGR1	interferon gamma receptor 1
NM_000902	MME	membrane metallo-endopeptidase
NM_014246	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1
NM_014248	RBX1	ring-box 1
NM_014249	NR2E3	photoreceptor-specific nuclear receptor isoform
NM_014256	B3GNT3	beta-1,3-N-acetylglucosaminyltransferase bGnT-3
NM_014263	YME1L1	YME1-like 1 isoform 3
NM_014265	ADAM28	a disintegrin and metalloproteinase domain 28
NM_014268	MAPRE2	microtubule-associated protein, RP/EB family,
NM_014271	IL1RAPL1	interleukin 1 receptor accessory protein-like 1
NM_001018073	PCK2	mitochondrial phosphoenolpyruvate carboxykinase
NM_014275	MGAT4B	mannosyl (alpha-1,3-)-glycoprotein
NM_014276	RBPSUHL	recombining binding protein L
NM_000202	IDS	iduronate-2-sulfatase isoform a precursor
NM_001713	BHMT	betaine-homocysteine methyltransferase
NM_001716	BLR1	Burkitt lymphoma receptor 1 isoform 1
NM_001718	BMP6	bone morphogenetic protein 6 precursor
NM_001719	BMP7	bone morphogenetic protein 7 precursor
NM_001720	BMP8B	bone morphogenetic protein 8B preproprotein
NM_001722	POLR3D	RNA polymerase III 53 kDa subunit RPC4
NM_001723	DST	dystonin isoform 1e precursor
NM_005870	SAP18	sin3 associated polypeptide p18
NM_005624	CCL25	small inducible cytokine A25 isoform 1
NM_005627	SGK	serum/glucocorticoid regulated kinase
NM_000200	HTN3	histatin 3
NM_000415	IAPP	islet amyloid polypeptide precursor
NM_000915	OXT	oxytocin-neurophysin I preproprotein
NM_001698	AUH	AU RNA-binding protein/enoyl-Coenzyme A
NM_001699	AXL	AXL receptor tyrosine kinase isoform 2
NM_001702	BAI1	brain-specific angiogenesis inhibitor 1
NM_001703	BAI2	brain-specific angiogenesis inhibitor 2
NM_001704	BAI3	brain-specific angiogenesis inhibitor 3
NM_005688	ABCC5	ATP-binding cassette, sub-family C, member 5
NM_005634	SOX3	SRY (sex determining region Y)-box 3
NM_005842	SPRY2	sprouty 2
NM_005866	OPRS1	opioid receptor, sigma 1 isoform 1
NM_005691	ABCC9	ATP-binding cassette, sub-family C, member 9
NM_005681	TAF1A	TBP-associated factor 1A isoform 1
NM_000195	HPS1	Hermansky-Pudlak syndrome 1 protein isoform a
NM_000197	HSD17B3	estradiol 17 beta-dehydrogenase 3
NM_000916	OXTR	oxytocin receptor
NM_014211	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi
NM_014213	HOXD9	homeo box D9
NM_014215	INSRR	insulin receptor-related receptor precursor
NM_014217	KCNK2	potassium channel, subfamily K, member 2 isoform
NM_014220	TM4SF1	transmembrane 4 superfamily member 1
NM_014222	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha
NM_014223	NFYC	nuclear transcription factor Y, gamma
NM_014232	VAMP2	vesicle-associated membrane protein 2
NM_014237	ADAM18	a disintegrin and metalloproteinase domain 18
NM_014243	ADAMTS3	a disintegrin-like and metalloprotease
NM_014244	ADAMTS2	a disintegrin and metalloprotease with
NM_000381	MID1	midline 1 isoform alpha
NM_000249	MLH1	MutL protein homolog 1
NM_000845	GRM8	glutamate receptor, metabotropic 8 precursor
NM_002294	LAMP2	lysosomal-associated membrane protein 2
NM_002297	LCN1	lipocalin 1 precursor
NM_002298	LCP1	L-plastin
NM_002299	LCT	lactase-phlorizin hydrolase preproprotein
NM_002301	LDHC	lactate dehydrogenase C
NM_002305	LGALS1	beta-galactoside-binding lectin precursor
NM_002307	LGALS7	galectin 7
NM_002309	LIF	leukemia inhibitory factor (cholinergic
NM_002311	LIG3	ligase III, DNA, ATP-dependent isoform beta
NM_005590	MRE11A	meiotic recombination 11 homolog A isoform 2
NM_005591	MRE11A	meiotic recombination 11 homolog A isoform 1
NM_005807	PRG4	proteoglycan 4
NM_000250	MPO	myeloperoxidase
NM_000251	MSH2	mutS homolog 2
NM_000844	GRM7	glutamate receptor, metabotropic 7 isoform a
NM_002315	LMO1	LIM domain only 1
NM_002355	M6PR	cation-dependent mannose-6-phosphate receptor
NM_002357	MXD1	MAX dimerization protein 1
NM_002361	MAG	myelin associated glycoprotein isoform a
NM_002371	MAL	T-lymphocyte maturation-associated protein
NM_002374	MAP2	microtubule-associated protein 2 isoform 1
NM_002377	MAS1	MAS1 oncogene
NM_002387	MCC	mutated in colorectal cancers
NM_002395	ME1	cytosolic malic enzyme 1
NM_002396	ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial
NM_002421	MMP1	matrix metalloproteinase 1 preproprotein
NM_000252	MTM1	myotubularin
NM_000253	MTP	microsomal triglyceride transfer protein large
NM_000843	GRM6	glutamate receptor, metabotropic 6 precursor
NM_002403	MFAP2	microfibrillar-associated protein 2 precursor
NM_002425	MMP10	matrix metalloproteinase 10 preproprotein
NM_002426	MMP12	matrix metalloproteinase 12 preproprotein
NM_002427	MMP13	matrix metalloproteinase 13 preproprotein
NM_002422	MMP3	matrix metalloproteinase 3 preproprotein
NM_002423	MMP7	matrix metalloproteinase 7 preproprotein
NM_002424	MMP8	matrix metalloproteinase 8 preproprotein
NM_002432	MNDA	myeloid cell nuclear differentiation antigen
NM_002435	MPI	mannose-6- phosphate isomerase
NM_002436	MPP1	palmitoylated membrane protein 1
NM_002438	MRC1	mannose receptor C type 1 precursor
NM_005845	ABCC4	ATP-binding cassette, sub-family C, member 4
NM_005823	MSLN	mesothelin isoform 1 preproprotein
NM_005791	MPHOSPH10	M-phase phosphoprotein 10
NM_000254	MTR	5-methyltetrahydrofolate-homocysteine
NM_000255	MUT	methylmalonyl Coenzyme A mutase precursor
NM_000842	GRM5	
NM_002444	MSN	moesin
NM_002445	MSR1	macrophage scavenger receptor 1 isoform type 2
NM_002448	MSX1	msh homeo box homolog 1
NM_002449	MSX2	msh homeo box homolog 2
NM_002461	MVD	diphosphomevalonate decarboxylase
NM_002462	MX1	myxovirus resistance protein 1
NM_002463	MX2	myxovirus resistance protein 2
NM_002474	MYH11	smooth muscle myosin heavy chain 11 isoform SM1
NM_002476	MYL4	atrial/embryonic alkali myosin light chain
NM_005584	MAB21L1	mab-21-like protein 1
NM_005586	MDFI	MyoD family inhibitor
NM_000431	MVK	mevalonate kinase
NM_000256	MYBPC3	protein C, cardiac
NM_000841	GRM4	glutamate receptor, metabotropic 4
NM_014379	KCNV1	potassium channel, subfamily V, member 1
NM_014393	STAU2	staufen homolog 2
NM_014396	VPS41	vacuolar protein sorting 41 (yeast homolog)
NM_014399	TSPAN13	tetraspan NET-6
NM_014402	QP-C	low molecular mass ubiquinone-binding protein
NM_014404	CACNG5	voltage-dependent calcium channel gamma-5
NM_014405	CACNG4	voltage-dependent calcium channel gamma-4
NM_014409	TAF5L	PCAF associated factor 65 beta isoform a
NM_014412	CACYBP	calcyclin binding protein isoform 1
NM_014413	EIF2AK1	heme-regulated initiation factor 2-alpha kinase
NM_014418	TCL6	T-cell leukemia/lymphoma 6 isoform TCL6a2
NM_014425	INVS	inversin isoform a
NM_000257	MYH7	myosin, heavy polypeptide 7, cardiac muscle,
NM_000432	MYL2	myosin light chain 2
NM_002477	MYL5	myosin regulatory light chain 5
NM_002478	MYOD1	myogenic factor 3
NM_002479	MYOG	myogenin
NM_002482	NASP	nuclear autoantigenic sperm protein isoform 2
NM_002505	NFYA	nuclear transcription factor Y, alpha isoform 1
NM_002510	GPNMB	glycoprotein (transmembrane) nmb isoform b
NM_002511	NMBR	neuromedin B receptor
NM_002524	NRAS	neuroblastoma RAS viral (v-ras) oncogene
NM_002537	OAZ2	ornithine decarboxylase antizyme 2
NM_002539	ODC1	ornithine decarboxylase 1
NM_002545	OPCML	opioid binding protein/cell adhesion
NM_002556	OSBP	oxysterol binding protein
NM_002569	FURIN	furin preproprotein
NM_002574	PRDX1	peroxiredoxin 1
NM_000258	MYL3	myosin light chain 3
NM_000261	MYOC	myocilin
NM_000839	GRM2	glutamate receptor, metabotropic 2 precursor
NM_002580	REG3A	pancreatitis-associated protein precursor
NM_002584	PAX7	paired box gene 7 isoform 1
NM_002593	PCOLCE	procollagen C-endopeptidase enhancer
NM_002608	PDGFB	platelet-derived growth factor beta isoform 1,
NM_002609	PDGFRB	platelet-derived growth factor receptor beta
NM_002628	PFN2	profilin 2 isoform b
NM_002634	PHB	prohibitin
NM_002641	PIGA	phosphatidylinositol
NM_002643	PIGF	phosphatidylinositol glycan, class F isoform 1
NM_002649	PIK3CG	phosphoinositide-3-kinase, catalytic, gamma
NM_000264	PTCH	patched
NM_000838	GRM1	glutamate receptor, metabotropic 1
NM_002667	PLN	phospholamban
NM_002675	PML	promyelocytic leukemia protein isoform 6
NM_002676	PMM1	phosphomannomutase 1
NM_002719	PPP2R5C	gamma isoform of regulatory subunit B56, protein
NM_002729	HHEX	hematopoietically expressed homeobox
NM_002744	PRKCZ	protein kinase C, zeta
NM_002760	PRKY	protein kinase, Y-linked
NM_002769	PRSS1	protease, serine, 1 preproprotein
NM_002770	PRSS2	protease, serine, 2 preproprotein
NM_002771	PRSS3	mesotrypsin preproprotein
NM_002772	PRSS7	enterokinase precursor
NM_000433	NCF2	neutrophil cytosolic factor 2
NM_000836	GRIN2D	N-methyl-D-aspartate receptor subunit 2D
NM_002788	PSMA3	proteasome alpha 3 subunit isoform 1
NM_002827	PTPN1	protein tyrosine phosphatase, non-receptor type
NM_002834	PTPN11	protein tyrosine phosphatase, non-receptor type
NM_002828	PTPN2	protein tyrosine phosphatase, non-receptor type
NM_002829	PTPN3	protein tyrosine phosphatase, non-receptor type
NM_002830	PTPN4	protein tyrosine phosphatase, non-receptor type
NM_002831	PTPN6	protein tyrosine phosphatase, non-receptor type
NM_002833	PTPN9	protein tyrosine phosphatase, non-receptor type
NM_002836	PTPRA	protein tyrosine phosphatase, receptor type, A
NM_002837	PTPRB	protein tyrosine phosphatase, receptor type, B
NM_002838	PTPRC	protein tyrosine phosphatase, receptor type, C
NM_002842	PTPRH	protein tyrosine phosphatase, receptor type, H
NM_002872	RAC2	ras-related C3 botulinum toxin substrate 2
NM_000835	GRIN2C	N-methyl-D-aspartate receptor subunit 2C
NM_002874	RAD23B	UV excision repair protein RAD23 homolog B
NM_002879	RAD52	RAD52 homolog isoform alpha
NM_002880	RAF1	v-raf-1 murine leukemia viral oncogene homolog
NM_002881	RALB	v-ral simian leukemia viral oncogene homolog B
NM_002882	RANBP1	RAN binding protein 1
NM_002884	RAP1A	RAP1A, member of RAS oncogene family
NM_002895	RBL1	retinoblastoma-like protein 1 isoform a
