MYO9B	NM_001130065	myosin IXB isoform 2
AIF1	NM_032955	allograft inflammatory factor 1 isoform 1
BZW2	NM_014038	basic leucine zipper and W2 domains 2
LYK5	NM_001003788	protein kinase LYK5 isoform 4
LIPT1	NM_145198	lipoyltransferase 1
SPDYC	NM_001008778	speedy C
DEFB104A	NM_080389	defensin, beta 104A precursor
CDK5RAP1	NM_016082	CDK5 regulatory subunit associated protein 1
SMTN	NM_134269	smoothelin isoform b
AUTS2	NM_015570	autism susceptibility candidate 2 isoform 1
PATZ1	NM_032052	POZ (BTB) and AT hook containing zinc finger 1
CAMK2B	NM_172080	calcium/calmodulin-dependent protein kinase IIB
M6PR	NM_002355	cation-dependent mannose-6-phosphate receptor
NLK	NM_016231	nemo-like kinase
PRKACA	NM_002730	cAMP-dependent protein kinase catalytic subunit
IPPK	NM_022755	inositol 1,3,4,5,6-pentakisphosphate 2-kinase
DUSP28	NM_001033575	dual specificity phosphatase 28
AZIN1	NM_015878	ornithine decarboxylase antizyme inhibitor
ZMAT1	NM_032441	zinc finger, matrin type 1 isoform 3
MAPT	NM_005910	microtubule-associated protein tau isoform 2
IL1RL1	NM_016232	interleukin 1 receptor-like 1 isoform 1
ANG	NM_001145	angiogenin, ribonuclease, RNase A family, 5
SEMA6D	NM_153616	semaphorin 6D isoform 2 precursor
CCNK	NM_001099402	cyclin K isoform 1
CTF8	NM_001040146	chromosome transmission fidelity factor 8
RPS6KA2	NM_021135	ribosomal protein S6 kinase, 90kDa, polypeptide
WDR13	NM_017883	WD repeat domain 13 protein
LY6D	NM_003695	lymphocyte antigen 6 complex, locus D
PPP1R3F	NM_033215	protein phosphatase 1, regulatory (inhibitor)
CALML4	NM_033429	calmodulin-like 4 isoform 1
CT47.6	NM_001080141	hypothetical protein LOC728062
TTPAL	NM_024331	tocopherol (alpha) transfer protein-like
TOM1L1	NM_005486	target of myb1-like 1
TM9SF1	NM_006405	transmembrane 9 superfamily member 1 isoform a
KIAA0195	NM_014738	hypothetical protein LOC9772
NLRC5	NM_032206	nucleotide-binding oligomerization domains 27
C11orf60	NM_020153	hypothetical protein LOC56912
GALNTL5	NM_145292	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
POU5F1	NM_203289	POU domain, class 5, transcription factor 1
SYT16	NM_031914	synaptotagmin XIV-like
FANCA	NM_001018112	Fanconi anemia, complementation group A isoform
C6orf1	NM_178508	hypothetical protein LOC221491
PRDM2	NM_015866	retinoblastoma protein-binding zinc finger
DKFZP586H2123	NM_015430	regeneration associated muscle protease isoform
DDX17	NM_001098505	DEAD box polypeptide 17 isoform 4
RBM9	NM_001082578	RNA binding motif protein 9 isoform 5
CYP24A1	NM_000782	cytochrome P450 family 24 subfamily A
NDUFA4	NM_002489	NADH dehydrogenase (ubiquinone) 1 alpha
REV3L	NM_002912	REV3-like, catalytic subunit of DNA polymerase
C1orf96	NM_145257	hypothetical protein LOC126731
GYPC	NM_016815	glycophorin C isoform 2
GOSR1	NM_001007025	golgi SNAP receptor complex member 1 isoform 2
PCDHGA5	NM_018918	protocadherin gamma subfamily A, 5 isoform 1
EXOC3L2	NM_138568	protein 7 transactivated by hepatitis B virus X
RPS4Y2	NM_001039567	ribosomal protein S4, Y-linked 2
EMID2	NM_133457	EMI domain containing 2
GPM6A	NM_201592	glycoprotein M6A isoform 3
CDC14A	NM_033312	CDC14 homolog A isoform 2
GLRA3	NM_006529	glycine receptor, alpha 3 isoform a
TMEM214	NM_001083590	transmembrane protein 214 isoform 2
NAP1L4	NM_005969	nucleosome assembly protein 1-like 4
SLC25A23	NM_024103	solute carrier family 25, member 23
MPV17L	NM_173803	MPV17 mitochondrial membrane protein-like
PARS2	NM_152268	prolyl-tRNA synthetase
CXorf59	NM_173695	hypothetical protein LOC286464
CMTM3	NM_144601	chemokine-like factor superfamily 3
EFNA3	NM_004952	ephrin A3
PTPRT	NM_133170	protein tyrosine phosphatase, receptor type, T
C11orf70	NM_032930	hypothetical protein LOC85016
ALDOA	NM_184043	aldolase A
C19orf54	NM_198476	hypothetical protein LOC284325
CCDC13	NM_144719	coiled-coil domain containing 13
ZSWIM7	NM_001042698	SWIM-domain containing Srs2 interacting protein
GABRB3	NM_021912	gamma-aminobutyric acid (GABA) A receptor, beta
SMPD1	NM_001007593	sphingomyelin phosphodiesterase 1, acid
TAF9	NM_003187	TAF9 RNA polymerase II isoform a
COL18A1	NM_030582	alpha 1 type XVIII collagen isoform 1 precursor
LIMCH1	NM_014988	LIM and calponin homology domains 1 isoform a
PHF10	NM_133325	PHD finger protein 10 isoform b
PLLP	NM_015993	plasmolipin
C9orf5	NM_032012	hypothetical protein LOC23731 isoform 1
EXT2	NM_207122	exostosin 2 isoform 2
TAF6	NM_139123	TBP-associated factor 6 isoform delta
STARD13	NM_178007	StAR-related lipid transfer (START) domain
SEC61G	NM_001012456	Sec61 gamma subunit
HTR3C	NM_130770	5-hydroxytryptamine receptor 3 subunit C
P2RY8	NM_178129	G-protein coupled purinergic receptor P2Y8
UBE2V1	NM_001032288	ubiquitin-conjugating enzyme E2 variant 1
SCRT1	NM_031309	scratch
BGN	NM_001711	biglycan preproprotein
PCDHAC1	NM_031882	protocadherin alpha subfamily C, 1 isoform 2
AHRR	NM_020731	arylhydrocarbon receptor repressor
PGLYRP1	NM_005091	peptidoglycan recognition protein 1
LSP1	NM_001013254	lymphocyte-specific protein 1 isoform 2
PDCD4	NM_145341	programmed cell death 4 isoform 2
KCNH7	NM_173162	potassium voltage-gated channel, subfamily H,
CRISP3	NM_006061	cysteine-rich secretory protein 3
CASP8	NM_033355	caspase 8 isoform B precursor
HFE	NM_139009	hemochromatosis protein isoform 9 precursor
CEP70	NM_024491	centrosomal protein 70 kDa
CSHL1	NM_022579	chorionic somatomammotropin hormone-like 1
ARRB1	NM_004041	arrestin beta 1 isoform A
FBP2	NM_003837	fructose-1,6-bisphosphatase 2
SERPINA1	NM_001002235	serine proteinase inhibitor, clade A, member 1
BAG5	NM_004873	BCL2-associated athanogene 5 isoform b
ATP5I	NM_007100	ATP synthase, H+ transporting, mitochondrial F0
EAPP	NM_018453	E2F-associated phosphoprotein
ZNF83	NM_001105552	zinc finger protein 83 isoform a
CCDC15	NM_025004	coiled-coil domain containing 15
ACE2	NM_021804	angiotensin I converting enzyme 2 precursor
GPR116	NM_015234	G-protein coupled receptor 116
GRPEL2	NM_152407	GrpE-like 2, mitochondrial
ZNF18	NM_144680	zinc finger protein 18
GABARAP	NM_007278	GABA(A) receptor-associated protein
UAP1	NM_003115	UDP-N-acteylglucosamine pyrophosphorylase 1
DAPP1	NM_014395	dual adaptor of phosphotyrosine and
DBI	NM_001079862	diazepam binding inhibitor isoform 3
SATL1	NM_001012980	spermidine/spermine N1-acetyl transferase-like
RPAP1	NM_015540	RNA polymerase II associated protein 1
MSC	NM_005098	musculin
C6orf1	NM_001008703	hypothetical protein LOC221491
APITD1	NM_199294	apoptosis-inducing, TAF9-like domain 1 isoform
FAM115C	NM_173678	hypothetical protein LOC285966 A
NAG	NM_015909	neuroblastoma-amplified protein
LAS1L	NM_031206	LAS1-like
MSI1	NM_002442	musashi 1
MEN1	NM_130804	menin isoform 1
TTC14	NM_001042601	tetratricopeptide repeat domain 14 isoform b
FOLR2	NM_000803	folate receptor 2 precursor
CTNND1	NM_001085460	catenin, delta 1 isoform 1A
SPANXN2	NM_001009615	SPANX-N2 protein
DHH	NM_021044	desert hedgehog preproprotein
TXNRD1	NM_182729	thioredoxin reductase 1 isoform 2
G6PD	NM_000402	glucose-6-phosphate dehydrogenase isoform a
ZNF648	NM_001009992	zinc finger protein 648
TJP1	NM_175610	tight junction protein 1 isoform b
FAM148B	NM_001007595	nuclear localized factor 2
LOC149643	NM_001024601	hypothetical protein LOC149643
KIAA1586	NM_020931	hypothetical protein LOC57691
ENPP3	NM_005021	ectonucleotide pyrophosphatase/phosphodiesterase
COPS8	NM_198189	COP9 signalosome subunit 8 isoform 2
MOG	NM_206812	myelin oligodendrocyte glycoprotein isoform
TTC21A	NM_001105513	tetratricopeptide repeat domain 21A isoform 1
CNOT1	NM_206999	CCR4-NOT transcription complex, subunit 1
RGS3	NM_021106	regulator of G-protein signalling 3 isoform 2
TRPV1	NM_080704	transient receptor potential cation channel,
TUBA1B	NM_006082	tubulin, alpha, ubiquitous
CPNE1	NM_152927	copine I
PCBD2	NM_032151	pterin-4 alpha-carbinolamine dehydratase 2
C10orf11	NM_032024	chromosome 10 open reading frame 11
MAPKAPK5	NM_003668	mitogen-activated protein kinase-activated
GIPC2	NM_017655	PDZ domain protein GIPC2
PER2	NM_022817	period 2
KTN1	NM_182926	kinectin 1 isoform a
CEP164	NM_014956	centrosomal protein 164kDa
GFM2	NM_170681	mitochondrial elongation factor G2 isoform 3
TRIM15	NM_033229	tripartite motif protein 15
SLC23A1	NM_005847	solute carrier family 23 (nucleobase
C5orf43	NM_001048249	hypothetical protein LOC643155
AKR1D1	NM_005989	aldo-keto reductase family 1, member D1
GLRA3	NM_001042543	glycine receptor, alpha 3 isoform b
AHDC1	NM_001029882	AT hook, DNA binding motif, containing 1
SLC30A2	NM_032513	solute carrier family 30, member 2 isoform 2
AP2S1	NM_004069	adaptor-related protein complex 2, sigma 1
SSX9	NM_174962	synovial sarcoma, X breakpoint 9
KIF1C	NM_006612	kinesin family member 1C
KRTAP4-1	NM_033060	keratin associated protein 4-1
KLF10	NM_005655	Kruppel-like factor 10 isoform a
MRPL22	NM_001014990	mitochondrial ribosomal protein L22 isoform b
SLC26A9	NM_052934	solute carrier family 26, member 9 isoform a
KCNN2	NM_021614	small conductance calcium-activated potassium
PRELP	NM_201348	proline arginine-rich end leucine-rich repeat
ABHD4	NM_022060	abhydrolase domain containing 4
C16orf58	NM_022744	hypothetical protein LOC64755
FLJ45803	NM_207429	hypothetical protein LOC399948
SUSD2	NM_019601	sushi domain containing 2
TMC5	NM_001105249	transmembrane channel-like 5 isoform b
PHF13	NM_153812	PHD finger protein 13
ICA1	NM_022307	islet cell autoantigen 1
ANP32D	NM_012404	acidic nuclear phosphoprotein 32D
MRPL49	NM_004927	mitochondrial ribosomal protein L49
FGD2	NM_173558	FYVE, RhoGEF and PH domain containing 2
ZC3H18	NM_144604	zinc finger CCCH-type containing 18
PRKD3	NM_005813	protein kinase D3
TRIM36	NM_001017398	tripartite motif-containing 36 isoform 3
RBPMS2	NM_194272	RNA binding protein with multiple splicing 2
AIFM3	NM_001018060	apoptosis-inducing factor,
CST5	NM_001900	cystatin D precursor
RPS29	NM_001032	ribosomal protein S29 isoform 1
ARFGEF2	NM_006420	ADP-ribosylation factor guanine
RNASE8	NM_138331	ribonuclease, RNase A family, 8
C3orf23	NM_173826	hypothetical protein LOC285343 isoform 1
TRAM1	NM_014294	translocation associated membrane protein 1
FAM80B	NM_020734	hypothetical protein LOC57494
MRPS10	NM_018141	mitochondrial ribosomal protein S10
CREB3L4	NM_130898	cAMP responsive element binding protein 3-like
RGS11	NM_003834	regulator of G-protein signalling 11 isoform 2
SOX12	NM_006943	SRY (sex determining region Y)-box 12
ZNF431	NM_133473	zinc finger protein 431
GTF2H2	NM_001515	general transcription factor IIH, polypeptide 2,
CABP1	NM_004276	calcium binding protein 1 isoform 2
FCER1A	NM_002001	Fc fragment of IgE, high affinity I, receptor
COL6A3	NM_057167	alpha 3 type VI collagen isoform 5 precursor
SELO	NM_031454	selenoprotein O
TCF25	NM_014972	NULP1
MAD2L1	NM_002358	MAD2-like 1
PON2	NM_001018161	paraoxonase 2 isoform 2
RCCD1	NM_033544	RCC1 domain containing 1
PDE9A	NM_001001583	phosphodiesterase 9A isoform o
LOC100134860	NM_001113206	hypothetical protein LOC100134860 isoform 2
OR1L8	NM_001004454	olfactory receptor, family 1, subfamily L,
ZNF605	NM_183238	zinc finger protein 605
TFCP2	NM_005653	transcription factor CP2
KRIT1	NM_001013406	krev interaction trapped 1 isoform 2
PPP2R3A	NM_181897	protein phosphatase 2, regulatory subunit B'',
FREM1	NM_144966	FRAS1 related extracellular matrix 1
KRTAP10-2	NM_198693	keratin associated protein 10-2
RNF175	NM_173662	ring finger protein 175
OR5K4	NM_001005517	olfactory receptor, family 5, subfamily K,
TTC23	NM_001040660	tetratricopeptide repeat domain 23
PRSS2	NM_002770	protease, serine, 2 preproprotein
C16orf53	NM_024516	PTIP-associated 1 protein
TMEM115	NM_007024	PL6 protein
ABCB9	NM_019624	ATP-binding cassette, sub-family B (MDR/TAP),
EIF3D	NM_003753	eukaryotic translation initiation factor 3
CD59	NM_203331	CD59 antigen preproprotein
CENTD3	NM_022481	centaurin, delta 3
MAP4K5	NM_198794	mitogen-activated protein kinase kinase kinase
TMEM150	NM_001031738	transmembrane protein 150 isoform 1
HOMER2	NM_199332	homer 2 isoform 4
DUOXA1	NM_144565	Numb-interacting protein
CKMT1B	NM_020990	creatine kinase, mitochondrial 1B precursor
BCL2L13	NM_015367	BCL2-like 13 (apoptosis facilitator)
YIPF1	NM_018982	Yip1 domain family, member 1
PSME3	NM_005789	proteasome activator subunit 3 isoform 1
PIGT	NM_015937	phosphatidylinositol glycan anchor biosynthesis,
OR2T8	NM_001005522	olfactory receptor, family 2, subfamily T,
ZNF500	NM_021646	zinc finger protein 500
NEDD8	NM_006156	neural precursor cell expressed, developmentally
ZNF645	NM_152577	zinc finger protein 645
MED21	NM_004264	mediator complex subunit 21
PGAM2	NM_000290	phosphoglycerate mutase 2 (muscle)
LOC91461	NM_138370	hypothetical protein LOC91461
YWHAB	NM_003404	tyrosine 3-monooxygenase/tryptophan
HPR	NM_020995	haptoglobin-related protein
NFATC4	NM_004554	cytoplasmic nuclear factor of activated T-cells
SLC2A6	NM_017585	solute carrier family 2 (facilitated glucose
APBA3	NM_004886	amyloid beta (A4) precursor protein-binding,
SLC13A3	NM_022829	solute carrier family 13 member 3 isoform a
GLT8D3	NM_001099650	glycosyltransferase 8 domain containing 3
ALDH5A1	NM_001080	aldehyde dehydrogenase 5A1 precursor, isoform 2
CRYGB	NM_005210	crystallin, gamma B
AQP11	NM_173039	aquaporin 11
C6orf165	NM_178823	hypothetical protein LOC154313 isoform 2
GLB1L	NM_024506	galactosidase, beta 1-like
DYX1C1	NM_001033559	dyslexia susceptibility 1 candidate 1 isoform b
ECM2	NM_001393	extracellular matrix protein 2 precursor
TCP11L2	NM_152772	t-complex 11 (mouse) like 2
PROM1	NM_006017	prominin 1
PLEKHN1	NM_032129	pleckstrin homology domain containing, family N
LOC91893	NM_138378	hypothetical protein LOC91893
OR5H1	NM_001005338	olfactory receptor, family 5, subfamily H,
CLDN17	NM_012131	claudin 17
TAF10	NM_006284	TBP-related factor 10
COMMD3	NM_012071	COMM domain containing 3
CSF2RA	NM_172246	colony stimulating factor 2 receptor alpha chain
XPO5	NM_020750	exportin 5
AGL	NM_000646	amylo-1, 6-glucosidase,
FXYD5	NM_014164	FXYD domain-containing ion transport regulator
ASB13	NM_024701	ankyrin repeat and SOCS box-containing protein
SIM1	NM_005068	single-minded homolog 1
USP48	NM_001032730	ubiquitin specific protease 48 isoform b
ARHGAP30	NM_181720	Rho GTPase activating protein 30 isoform 2
NUPL1	NM_014089	nucleoporin like 1 isoform a
TNS3	NM_022748	tensin 3
AKAP1	NM_003488	A-kinase anchor protein 1 precursor
ZNF77	NM_021217	zinc finger protein 77
C9orf46	NM_018465	hypothetical protein LOC55848
C3orf22	NM_152533	hypothetical protein LOC152065
NIN	NM_182944	ninein isoform 1
ADAMTS1	NM_006988	ADAM metallopeptidase with thrombospondin type 1
CER1	NM_005454	cerberus 1
NLGN4X	NM_020742	X-linked neuroligin 4
OR5P3	NM_153445	olfactory receptor, family 5, subfamily P,
TLE3	NM_020908	transducin-like enhancer protein 3 isoform c
SP1	NM_138473	Sp1 transcription factor
DGAT2L4	NM_001002254	diacylglycerol O-acyltransferase 2-like 4
TRIM37	NM_015294	tripartite motif-containing 37 protein
SLC9A9	NM_173653	solute carrier family 9 (sodium/hydrogen
ILKAP	NM_030768	integrin-linked kinase-associated protein
DPP3	NM_005700	dipeptidyl peptidase III
DIO3	NM_001362	deiodinase, iodothyronine, type III
WDR36	NM_139281	WD repeat domain 36
SLC6A9	NM_001024845	solute carrier family 6 member 9 isoform 3
C11orf87	NM_207645	hypothetical protein LOC399947
WFDC6	NM_080827	WAP four-disulfide core domain 6 precursor
HIPK1	NM_181358	homeodomain-interacting protein kinase 1 isoform
XAGE1D	NM_133431	X antigen family, member 1D isoform 1c
IMP4	NM_033416	IMP4, U3 small nucleolar ribonucleoprotein,
DZIP1L	NM_173543	DAZ interacting protein 1-like
NFU1	NM_015700	HIRA interacting protein 5 isoform 1
TMEM116	NM_138341	transmembrane protein 116
OMD	NM_005014	osteomodulin
COX7A1	NM_001864	cytochrome c oxidase subunit VIIa polypeptide 1
ANXA9	NM_003568	annexin A9
STMN1	NM_005563	stathmin 1
SLFN11	NM_152270	schlafen family member 11
BARHL2	NM_020063	BarH-like homeobox 2
TOPBP1	NM_007027	topoisomerase (DNA) II binding protein 1
CEACAM5	NM_004363	carcinoembryonic antigen-related cell adhesion
OLFML2A	NM_182487	olfactomedin-like 2A
SERPING1	NM_001032295	complement component 1 inhibitor precursor
CTSB	NM_147781	cathepsin B preproprotein
TMEM16G	NM_001001891	transmembrane protein 16G isoform NGEP long
HSPB8	NM_014365	heat shock 22kDa protein 8
TMEM189	NM_199129	transmembrane protein 189
RUNX1T1	NM_175636	acute myelogenous leukemia 1 translocation 1
P2RX2	NM_012226	purinergic receptor P2X2 isoform I
C20orf11	NM_017896	chromosome 20 open reading frame 11
LMO3	NM_001001395	LIM domain only 3
SH3BP5L	NM_030645	SH3-binding domain protein 5-like
TCEAL1	NM_001006640	transcription elongation factor A (SII)-like 1
PEBP4	NM_144962	phosphatidylethanolamine-binding protein 4
STK17B	NM_004226	serine/threonine kinase 17b
STK32C	NM_173575	serine/threonine kinase 32C
OSBPL10	NM_017784	oxysterol-binding protein-like protein 10
C12orf36	NM_182558	hypothetical protein LOC283422
SUCNR1	NM_033050	succinate receptor 1
SPCS2	NM_014752	signal peptidase complex subunit 2 homolog
CLDN15	NM_014343	claudin 15
LAMB3	NM_001017402	laminin, beta 3 precursor
FXYD3	NM_005971	FXYD domain containing ion transport regulator 3
NR0B1	NM_000475	nuclear receptor subfamily 0, group B, member 1
PPM1M	NM_144641	protein phosphatase 1M (PP2C domain containing)
SEMA3G	NM_020163	semaphorin sem2
C16orf84	NM_001012759	hypothetical protein LOC348180 isoform 1
PAPSS2	NM_004670	3'-phosphoadenosine 5'-phosphosulfate synthase 2
CCDC60	NM_178499	coiled-coil domain containing 60
SLC4A10	NM_022058	solute carrier family 4, sodium bicarbonate
C12orf65	NM_152269	hypothetical protein LOC91574
RNF34	NM_194271	ring finger protein 34 isoform 1
C6orf97	NM_025059	hypothetical protein LOC80129
SPEF2	NM_144722	KPL2 protein isoform 2
TTC8	NM_144596	tetratricopeptide repeat domain 8 isoform A
RASL10B	NM_033315	RAS-like, family 10, member B
HPS1	NM_000195	Hermansky-Pudlak syndrome 1 protein isoform a
PCP4L1	NM_001102566	Purkinje cell protein 4 like 1
KLHDC3	NM_057161	kelch domain containing 3
GNA15	NM_002068	guanine nucleotide binding protein (G protein),
CEP63	NM_001042384	centrosomal protein 63 isoform d
GALNT14	NM_024572	UDP-N-acetyl-alpha-D-galactosamine:polypeptide
TAL1	NM_003189	T-cell acute lymphocytic leukemia 1
KCNN1	NM_002248	potassium intermediate/small conductance
ZNF587	NM_032828	zinc finger protein 587
EID2B	NM_152361	EP300 interacting inhibitor of differentiation
OR7G2	NM_001005193	olfactory receptor, family 7, subfamily G,
EPC1	NM_025209	enhancer of polycomb 1
FKBP9	NM_007270	FK506 binding protein 9
ALX3	NM_006492	aristaless-like homeobox 3
KLF9	NM_001206	Kruppel-like factor 9
MAP2	NM_002374	microtubule-associated protein 2 isoform 1
SCARF2	NM_182895	scavenger receptor class F, member 2 isoform 2
UTP14C	NM_021645	UTP14, U3 small nucleolar ribonucleoprotein,
ANTXR2	NM_058172	capillary morphogenesis protein 2
LHX5	NM_022363	LIM homeobox protein 5
APOBEC2	NM_006789	apolipoprotein B mRNA editing enzyme, catalytic
TM2D1	NM_032027	beta-amyloid binding protein precursor
POLR1C	NM_203290	RNA polymerase I subunit isoform 1
ARRDC2	NM_001025604	arrestin domain containing 2 isoform 2
FMO1	NM_002021	flavin containing monooxygenase 1
FSHR	NM_000145	follicle stimulating hormone receptor isoform 1
ZDHHC6	NM_022494	zinc finger, DHHC-type containing 6
CSNK1A1L	NM_145203	casein kinase 1, alpha 1-like
COMT	NM_000754	catechol-O-methyltransferase isoform MB-COMT
